date,open,high,low,close,volume
2023-12-31 16:00:00,42477.0,42727.8,42452.7,42617.1,4883.492
2023-12-31 17:00:00,42617.1,42686.3,42495.4,42639.4,5095.072
2023-12-31 18:00:00,42639.4,42754.1,42557.7,42689.0,4241.601
2023-12-31 19:00:00,42689.0,42727.4,42611.9,42643.3,3670.555
2023-12-31 20:00:00,42643.3,42706.3,42533.4,42586.4,3773.893
2023-12-31 21:00:00,42586.4,42704.2,42550.0,42550.9,3103.773
2023-12-31 22:00:00,42550.9,42616.9,42102.9,42282.1,5875.934
2023-12-31 23:00:00,42282.1,42367.6,42077.9,42301.5,5789.847
2024-01-01 00:00:00,42301.5,42586.0,42283.3,42497.6,5110.998
2024-01-01 01:00:00,42497.6,42815.4,42450.0,42635.3,4690.456
2024-01-01 02:00:00,42635.3,42664.3,42523.8,42611.3,3435.721
2024-01-01 03:00:00,42611.3,42617.4,42257.3,42357.4,6397.264
2024-01-01 04:00:00,42357.4,42422.9,42225.3,42419.3,5776.044
2024-01-01 05:00:00,42419.3,42424.0,42194.8,42260.0,5698.687
2024-01-01 06:00:00,42260.0,42443.1,42226.4,42410.6,5046.746
2024-01-01 07:00:00,42410.6,42520.3,42410.6,42519.2,6403.254
2024-01-01 08:00:00,42519.2,42577.5,42479.2,42572.9,6291.146
2024-01-01 09:00:00,42572.9,42719.7,42557.2,42669.9,6426.655
2024-01-01 10:00:00,42669.9,42782.4,42649.7,42714.8,6653.851
2024-01-01 11:00:00,42714.8,42787.4,42625.2,42715.1,7124.104
2024-01-01 12:00:00,42715.1,42806.6,42638.5,42669.4,4801.301
2024-01-01 13:00:00,42669.4,42774.8,42634.9,42746.4,4250.56
2024-01-01 14:00:00,42746.4,42746.4,42600.1,42632.7,6578.078
2024-01-01 15:00:00,42632.7,42873.0,42607.0,42802.0,7649.41
2024-01-01 16:00:00,42802.0,42886.2,42680.3,42739.9,6378.573
2024-01-01 17:00:00,42739.9,42847.8,42722.0,42835.1,3879.398
2024-01-01 18:00:00,42835.1,43249.1,42834.1,43130.9,7735.154
2024-01-01 19:00:00,43130.9,43580.0,43120.4,43543.4,6340.091
2024-01-01 20:00:00,43543.4,43891.0,43536.9,43740.6,8290.994
2024-01-01 21:00:00,43740.6,43837.2,43515.2,43659.9,5797.491
2024-01-01 22:00:00,43659.9,43711.0,43415.4,43566.5,4117.741
2024-01-01 23:00:00,43566.5,44251.2,43566.4,44219.0,8337.805
2024-01-02 00:00:00,44219.0,45347.4,44189.2,45170.3,17198.254
2024-01-02 01:00:00,45170.3,45470.7,44738.3,44911.0,10344.675
2024-01-02 02:00:00,44911.0,45410.0,44910.9,45406.5,8470.676
2024-01-02 03:00:00,45406.5,45544.9,45154.4,45413.3,10253.326
2024-01-02 04:00:00,45413.3,45468.8,45182.5,45208.3,8420.788
2024-01-02 05:00:00,45208.3,45346.2,45145.0,45204.6,6262.229
2024-01-02 06:00:00,45204.6,45332.6,45150.4,45192.7,5362.287
2024-01-02 07:00:00,45192.7,45743.5,45190.0,45482.2,11192.633
2024-01-02 08:00:00,45482.2,45886.3,45354.3,45800.0,13720.707
2024-01-02 09:00:00,45800.0,45924.4,45657.2,45715.8,9645.635
2024-01-02 10:00:00,45715.8,45759.8,45478.9,45639.9,7297.438
2024-01-02 11:00:00,45639.9,45754.6,45244.7,45470.0,8152.643
2024-01-02 12:00:00,45470.0,45634.6,45311.3,45342.2,6240.752
