date,open,high,low,close,volume,sma_20,ema_20,sma_50,ema_50,sma_200,ema_200,ema_12,ema_26,macd,macd_signal,rsi,bb_middle,bb_std,bb_upper,bb_lower,bullish,candle_color,candle_streak_count,trend,exchange,pair,timeframe,date_downloaded
2023-01-25,22631.94,23816.73,22300.0,23060.94,346042.83,20251.29,20731.13,,18892.71,,17302.38,21712.63,20176.55,1536.08,1319.97,86.45,20251.29,2278.95,24809.19,15693.38,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-26,23060.42,23282.47,22850.01,23009.65,288924.44,20554.24,20948.13,,19054.16,,17359.17,21912.17,20386.41,1525.76,1361.13,83.75,20554.24,2219.03,24992.29,16116.18,False,red,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-27,23009.65,23500.0,22534.88,23074.16,280833.86,20860.77,21150.61,,19211.81,,17416.03,22090.94,20585.5,1505.44,1389.99,80.54,20860.77,2115.0,25090.77,16630.76,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-28,23074.16,23189.0,22878.46,23022.6,148115.71,21155.5,21328.89,,19361.25,,17471.82,22234.27,20766.03,1468.25,1405.64,74.76,21155.5,1973.41,25102.33,17208.68,False,red,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-29,23021.4,23960.54,22967.76,23742.3,295688.79,21483.71,21558.74,,19533.05,,17534.21,22466.28,20986.49,1479.78,1420.47,79.83,21483.71,1816.76,25117.22,17850.19,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-30,23743.37,23800.51,22500.0,22826.15,302405.9,21752.98,21679.45,,19662.2,,17586.87,22521.64,21122.76,1398.88,1416.15,65.15,21752.98,1568.06,24889.09,18616.87,False,red,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-31,22827.38,23320.0,22714.77,23125.13,264649.35,22012.07,21817.13,,19798.0,,17641.98,22614.49,21271.09,1343.4,1401.6,67.58,22012.07,1312.76,24637.59,19386.55,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-02-01,23125.13,23812.66,22760.23,23732.66,310790.42,22256.38,21999.56,,19952.3,,17702.58,22786.51,21453.42,1333.09,1387.9,76.29,22256.38,1135.32,24527.02,19985.74,False,green,2,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-02-02,23731.41,24255.0,23363.27,23488.94,364177.21,22434.32,22141.41,,20090.99,,17760.16,22894.58,21604.2,1290.37,1368.39,71.35,22434.32,1025.05,24484.43,20384.21,False,red,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-02-03,23489.33,23715.7,23204.62,23431.9,332571.03,22558.17,22264.31,,20222.01,,17816.59,22977.24,21739.59,1237.65,1342.25,59.27,22558.17,985.79,24529.75,20586.6,False,red,2,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-02-04,23431.9,23587.78,23253.96,23326.84,166126.47,22680.94,22365.51,,20343.76,,17871.42,23031.03,21857.16,1173.86,1308.57,56.61,22680.94,915.03,24511.0,20850.88,False,red,3,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-02-05,23327.66,23433.33,22743.0,22932.91,209251.34,22768.3,22419.54,,20445.3,,17921.78,23015.93,21936.85,1079.08,1262.67,52.54,22768.3,845.52,24459.35,21077.26,False,red,4,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-02-06,22932.91,23158.25,22628.13,22762.52,265371.61,22849.69,22452.21,,20536.17,,17969.95,22976.95,21998.01,978.94,1205.93,48.25,22849.69,753.33,24356.34,21343.03,False,red,5,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
