date,open,high,low,close,volume,sma_20,ema_20,sma_50,ema_50,sma_200,ema_200,ema_12,ema_26,macd,macd_signal,rsi,bb_middle,bb_std,bb_upper,bb_lower,exchange,pair,timeframe,date_downloaded
2017-08-19 08:00:00,4033.47,4082.25,3850.0,3957.6,77.26,,4225.24,,4291.94,,4334.27,4171.68,4248.43,-76.75,-39.89,22.67,,,,,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-19 12:00:00,3945.12,4100.0,3928.89,3972.05,47.52,,4201.13,,4279.4,,4330.66,4140.97,4227.96,-86.99,-49.31,24.19,,,,,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-19 16:00:00,4036.19,4103.92,3953.4,4076.12,25.93,,4189.22,,4271.43,,4328.13,4130.99,4216.71,-85.72,-56.59,26.87,,,,,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-19 20:00:00,4088.71,4149.99,4051.47,4139.98,9.35,,4184.53,,4266.27,,4326.26,4132.37,4211.03,-78.65,-61.0,35.8,,,,,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-20 00:00:00,4120.98,4139.98,4044.0,4094.62,6.61,,4175.97,,4259.54,,4323.95,4126.56,4202.4,-75.84,-63.97,34.95,,,,,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-20 04:00:00,4094.62,4156.56,4081.19,4155.87,28.6,,4174.06,,4255.47,,4322.28,4131.07,4198.96,-67.88,-64.75,41.79,,,,,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-20 08:00:00,4155.87,4211.08,4032.62,4106.53,36.02,4191.46,4167.62,,4249.63,,4320.13,4127.3,4192.11,-64.81,-64.76,38.79,4191.46,136.48,4464.41,3918.51,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-20 12:00:00,4106.53,4125.43,4063.35,4125.0,29.11,4180.21,4163.56,,4244.75,,4318.19,4126.94,4187.14,-60.19,-63.85,39.57,4180.21,131.92,4444.05,3916.38,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-20 16:00:00,4125.0,4185.94,4091.59,4164.6,170.0,4167.08,4163.66,,4241.6,,4316.66,4132.74,4185.47,-52.73,-61.63,39.53,4167.08,118.41,4403.89,3930.26,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-20 20:00:00,4161.59,4171.62,4069.13,4086.29,196.74,4153.77,4156.29,,4235.51,,4314.37,4125.59,4178.12,-52.53,-59.81,40.75,4153.77,111.22,4376.22,3931.32,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-21 00:00:00,4069.13,4119.62,4039.0,4084.76,220.84,4141.75,4149.48,,4229.6,,4312.09,4119.31,4171.21,-51.9,-58.23,46.4,4141.75,104.51,4350.77,3932.73,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-21 04:00:00,4079.26,4104.68,3953.4,4043.63,222.58,4129.68,4139.4,,4222.31,,4309.42,4107.67,4161.76,-54.09,-57.4,45.56,4129.68,100.97,4331.61,3927.74,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-21 08:00:00,4043.63,4088.12,4000.01,4023.11,78.88,4116.21,4128.33,,4214.5,,4306.57,4094.66,4151.49,-56.83,-57.28,41.97,4116.21,95.96,4308.13,3924.3,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-21 12:00:00,4023.11,4023.11,3911.79,4022.0,43.76,4102.3,4118.2,,4206.95,,4303.74,4083.48,4141.89,-58.42,-57.51,49.07,4102.3,87.68,4277.67,3926.93,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-21 16:00:00,4005.99,4042.11,3918.8,4027.05,24.47,4086.64,4109.52,,4199.89,,4300.98,4074.8,4133.39,-58.59,-57.73,56.38,4086.64,68.9,4224.43,3948.84,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-21 20:00:00,4027.05,4070.49,3950.0,4016.0,101.22,4075.59,4100.61,,4192.68,,4298.15,4065.75,4124.69,-58.94,-57.97,54.06,4075.59,60.77,4197.13,3954.05,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-22 00:00:00,4016.0,4016.0,3688.97,3862.39,114.69,4061.9,4077.92,,4179.73,,4293.81,4034.47,4105.26,-70.8,-60.53,31.89,4061.9,75.46,4212.82,3910.98,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-22 04:00:00,3863.0,3868.57,3400.0,3798.08,167.22,4046.38,4051.27,,4164.76,,4288.88,3998.1,4082.51,-84.41,-65.31,21.06,4046.38,94.82,4236.02,3856.75,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-22 08:00:00,3798.08,3920.31,3750.08,3866.48,221.73,4032.78,4033.67,,4153.06,,4284.68,3977.85,4066.51,-88.66,-69.98,31.41,4032.78,100.26,4233.3,3832.26,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
