strategy_id,date_executed,Period Start,Period End,Initial balance ($),Final balance ($),Performance (%),Hodl performance (%),Performance / Hodl (%),Total trades,Time in position (%),Win rate (%),Max drawdown (trades) (%),Max drawdown (equity) (%),Profit factor,Return / Max drawdown,Sharpe ratio,Sortino ratio,Calmar ratio,Average net PnL (%),Average trades/day,Average trade duration,Best trade (%),Best trade open,Best trade close,Worst trade (%),Worst trade open,Worst trade close,Total winning trades,Total losing trades,Avg PnL win trades (%),Avg PnL lose trades (%),Mean win trade duration,Mean lose trade duration,Max win streak,Max lose streak,Total fees,Biggest fee,Average fee,Open reason: Open long 1,Open reason: Open short 1,Open reason: Open long 2,Close reason: Exit long,Close reason: Exit short
btc_macd_daily_full,2025-04-07T11:28:37.627286,2017-08-17 00:00:00,2025-04-05 00:00:00,1000.0,5415.95,441.6,1849.51,-72.22,27,45.37,33.33,-45.84,-64.63,3.06,6.83,0.79,0.71,0.44,15.68,0.01,46 days 20:26:40,389.54,2020-10-13 00:00:00,2021-04-07 00:00:00,-30.06,2022-07-18 00:00:00,2022-11-09 00:00:00,9,18,69.85,-11.41,83 days 13:20:00,28 days 12:00:00,4,7,24.15,3.14,0.89,18,9,17,9,1
btc_macd_daily_full,2025-04-07T11:33:20.019523,2017-08-17 00:00:00,2025-04-05 00:00:00,1000.0,5415.95,441.6,1849.51,-72.22,27,45.37,33.33,-45.84,-64.63,3.06,6.83,0.79,0.71,0.44,15.68,0.01,46 days 20:26:40,389.54,2020-10-13 00:00:00,2021-04-07 00:00:00,-30.06,2022-07-18 00:00:00,2022-11-09 00:00:00,9,18,69.85,-11.41,83 days 13:20:00,28 days 12:00:00,4,7,24.15,3.14,0.89,18,9,17,9,1
btc_macd_daily_full,2025-04-07T11:34:21.317336,2017-08-17 00:00:00,2025-04-05 00:00:00,1000.0,5415.95,441.6,1849.51,-72.22,27,45.37,33.33,-45.84,-64.63,3.06,6.83,0.79,0.71,0.44,15.68,0.01,46 days 20:26:40,389.54,2020-10-13 00:00:00,2021-04-07 00:00:00,-30.06,2022-07-18 00:00:00,2022-11-09 00:00:00,9,18,69.85,-11.41,83 days 13:20:00,28 days 12:00:00,4,7,24.15,3.14,0.89,18,9,17,9,1
btc_sma_daily,2025-04-07T11:40:54.653188,2025-01-01 00:00:00,2025-04-05 00:00:00,1000.0,1091.97,9.2,-11.69,23.65,7,21.28,85.71,-0.06,-2.71,136.69,3.39,3.38,3.72,12.8,3.96,0.074,2 days 20:34:17.142857142,7.35,2025-03-03 00:00:00,2025-03-04 00:00:00,-0.1,2025-02-25 00:00:00,2025-03-02 00:00:00,6,1,4.63,-0.1,2 days 12:00:00,5 days 00:00:00,4,1,2.19,0.53,0.31,3,3,1,4,3
btc_sma_daily,2025-04-07T15:01:15.577591,2025-01-01 00:00:00,2025-04-07 00:00:00,1000.0,1089.13,8.91,-18.56,33.74,7,20.83,85.71,-0.06,-2.71,136.69,3.29,3.22,3.66,12.18,3.96,0.072,2 days 20:34:17.142857142,7.35,2025-03-03 00:00:00,2025-03-04 00:00:00,-0.1,2025-02-25 00:00:00,2025-03-02 00:00:00,6,1,4.63,-0.1,2 days 12:00:00,5 days 00:00:00,4,1,2.19,0.53,0.31,3,3,1,4,3
btc_macd_daily_full,2025-04-09T11:29:47.141193,2017-08-17 00:00:00,2025-04-07 00:00:00,1000.0,5458.63,445.86,1747.42,-70.45,27,45.34,33.33,-45.84,-64.63,3.06,6.9,0.79,0.71,0.44,15.68,0.01,46 days 20:26:40,389.54,2020-10-13 00:00:00,2021-04-07 00:00:00,-30.06,2022-07-18 00:00:00,2022-11-09 00:00:00,9,18,69.85,-11.41,83 days 13:20:00,28 days 12:00:00,4,7,24.15,3.14,0.89,18,9,17,9,1
btc_macd_daily_full,2025-04-16T11:58:41.606932,2017-08-17 00:00:00,2025-04-07 00:00:00,1000.0,5458.63,445.86,1747.42,-70.45,27,45.34,33.33,-45.84,-64.63,3.06,6.9,0.79,0.71,0.44,15.68,0.01,46 days 20:26:40,389.54,2020-10-13 00:00:00,2021-04-07 00:00:00,-30.06,2022-07-18 00:00:00,2022-11-09 00:00:00,9,18,69.85,-11.41,83 days 13:20:00,28 days 12:00:00,4,7,24.15,3.14,0.89,18,9,17,9,1
btc_macd_daily_full,2025-08-16T09:35:53.320268,2017-08-17 00:00:00,2025-08-15 00:00:00,1000.0,5205.08,420.51,2638.39,-80.99,30,46.85,33.33,-45.84,-64.63,2.94,6.51,0.75,0.67,0.42,14.02,0.01,45 days 14:24:00,389.54,2020-10-13 00:00:00,2021-04-07 00:00:00,-30.06,2022-07-18 00:00:00,2022-11-09 00:00:00,10,20,63.73,-10.84,83 days 07:12:00,26 days 18:00:00,4,7,26.54,3.14,0.88,18,12,17,12,1
btc_macd_daily_full,2025-08-16T09:40:11.273837,2017-08-17 00:00:00,2025-08-15 00:00:00,1000.0,5205.08,420.51,2638.39,-80.99,30,46.85,33.33,-45.84,-64.63,2.94,6.51,0.75,0.67,0.42,14.02,0.01,45 days 14:24:00,389.54,2020-10-13 00:00:00,2021-04-07 00:00:00,-30.06,2022-07-18 00:00:00,2022-11-09 00:00:00,10,20,63.73,-10.84,83 days 07:12:00,26 days 18:00:00,4,7,26.54,3.14,0.88,18,12,17,12,1
btc_macd_daily_full,2025-08-16T09:41:19.354116,2017-08-17 00:00:00,2025-08-15 00:00:00,1000.0,5205.08,420.51,2638.39,-80.99,30,46.85,33.33,-45.84,-64.63,2.94,6.51,0.75,0.67,0.42,14.02,0.01,45 days 14:24:00,389.54,2020-10-13 00:00:00,2021-04-07 00:00:00,-30.06,2022-07-18 00:00:00,2022-11-09 00:00:00,10,20,63.73,-10.84,83 days 07:12:00,26 days 18:00:00,4,7,26.54,3.14,0.88,18,12,17,12,1
