date,open,high,low,close,volume
2024-03-31 16:00:00,3621.04,3637.95,3620.64,3624.89,47485.039
2024-03-31 17:00:00,3624.89,3634.24,3623.76,3630.64,24304.736
2024-03-31 18:00:00,3630.65,3661.08,3626.92,3633.2,100743.333
2024-03-31 19:00:00,3633.19,3648.59,3616.42,3643.35,82027.958
2024-03-31 20:00:00,3643.36,3649.59,3633.94,3637.95,35263.741
2024-03-31 21:00:00,3637.95,3644.37,3621.19,3629.16,43553.999
2024-03-31 22:00:00,3629.16,3642.94,3626.87,3632.99,42880.523
2024-03-31 23:00:00,3632.99,3654.91,3631.8,3648.79,58637.415
2024-04-01 00:00:00,3648.8,3649.67,3618.27,3629.87,75185.196
2024-04-01 01:00:00,3629.86,3631.24,3610.14,3613.55,58576.342
2024-04-01 02:00:00,3613.54,3619.9,3610.0,3616.8,39610.569
2024-04-01 03:00:00,3616.8,3624.3,3604.0,3614.45,56050.412
2024-04-01 04:00:00,3614.46,3617.66,3603.17,3603.9,39607.275
2024-04-01 05:00:00,3603.9,3612.0,3500.0,3511.8,392832.14
2024-04-01 06:00:00,3511.8,3550.12,3503.37,3545.0,203593.696
2024-04-01 07:00:00,3545.01,3558.1,3540.26,3548.69,79905.58
2024-04-01 08:00:00,3548.69,3549.08,3521.52,3536.47,122740.676
2024-04-01 09:00:00,3536.48,3553.87,3536.48,3542.34,47486.331
2024-04-01 10:00:00,3542.34,3550.57,3531.93,3549.3,42987.501
2024-04-01 11:00:00,3549.3,3563.25,3538.13,3540.6,60075.931
2024-04-01 12:00:00,3540.6,3562.65,3537.28,3560.37,56146.734
2024-04-01 13:00:00,3560.36,3574.3,3549.02,3558.16,97140.409
2024-04-01 14:00:00,3558.24,3560.47,3490.3,3510.96,236963.174
2024-04-01 15:00:00,3510.97,3516.96,3438.88,3446.04,437360.189
2024-04-01 16:00:00,3446.03,3466.0,3433.1,3447.99,166593.547
2024-04-01 17:00:00,3448.0,3453.74,3413.0,3446.41,146582.629
2024-04-01 18:00:00,3446.4,3452.04,3420.8,3448.68,89630.598
2024-04-01 19:00:00,3448.69,3491.78,3443.88,3488.78,96441.407
2024-04-01 20:00:00,3488.79,3499.22,3472.86,3498.28,69369.201
2024-04-01 21:00:00,3498.29,3507.59,3486.43,3495.4,47797.751
2024-04-01 22:00:00,3495.4,3518.75,3492.78,3506.04,55151.113
2024-04-01 23:00:00,3506.04,3517.11,3503.45,3506.52,36672.108
2024-04-02 00:00:00,3506.52,3508.44,3472.7,3490.0,113965.76
2024-04-02 01:00:00,3490.0,3506.1,3484.34,3495.89,55911.386
2024-04-02 02:00:00,3495.89,3495.89,3315.45,3367.77,588083.598
2024-04-02 03:00:00,3367.77,3384.51,3352.88,3367.81,152725.085
2024-04-02 04:00:00,3367.8,3385.8,3348.14,3364.8,115178.913
2024-04-02 05:00:00,3364.81,3377.08,3338.64,3371.5,107503.902
2024-04-02 06:00:00,3371.5,3390.97,3368.33,3384.12,77427.725
2024-04-02 07:00:00,3384.12,3390.0,3364.12,3364.82,82373.526
2024-04-02 08:00:00,3364.81,3374.22,3328.84,3337.33,137256.805
2024-04-02 09:00:00,3337.33,3356.56,3306.65,3347.32,204584.224
2024-04-02 10:00:00,3347.32,3352.34,3308.52,3330.83,149596.451
2024-04-02 11:00:00,3330.83,3334.98,3278.45,3311.1,286487.583
2024-04-02 12:00:00,3311.11,3326.71,3290.01,3299.65,133279.018
2024-04-02 13:00:00,3299.65,3310.24,3234.0,3273.06,367435.493
2024-04-02 14:00:00,3273.06,3320.18,3271.68,3294.81,208569.602
2024-04-02 15:00:00,3294.8,3312.9,3232.67,3241.97,222315.994
2024-04-02 16:00:00,3241.97,3272.24,3212.0,3263.5,327067.405
2024-04-02 17:00:00,3263.49,3274.51,3246.52,3271.32,109516.568
2024-04-02 18:00:00,3271.31,3286.48,3258.51,3276.51,104578.494
2024-04-02 19:00:00,3276.52,3286.52,3266.46,3279.26,79291.123
2024-04-02 20:00:00,3279.19,3298.98,3259.66,3271.62,108000.907
2024-04-02 21:00:00,3271.43,3276.3,3241.6,3268.71,91816.948
2024-04-02 22:00:00,3268.71,3304.3,3261.0,3300.02,77091.815
2024-04-02 23:00:00,3300.02,3307.74,3272.08,3280.76,71654.739
2024-04-03 00:00:00,3280.67,3292.35,3203.12,3280.75,319032.781
2024-04-03 01:00:00,3280.75,3306.59,3258.11,3298.89,128979.793
2024-04-03 02:00:00,3298.89,3314.09,3295.54,3309.1,79124.352
